,Man_mean,Tent_mean,M,D,prob,ranking,Length
comp69796_c2,7.92897144440072,5.6606002072424,0.486178696310699,2.26837123715832,0.607152935248173,2.3198874529411,4847
comp69797_c1,3.58779057696378,2.0104070140945,0.835608071369104,1.57738356286929,0.614101788863694,1.78504334775024,2459
comp69799_c0,0.758789542411751,0.634878961599961,0.257218224571434,0.12391058081179,0.167553539934492,0.285508401082693,876
comp69802_c0,18.4343699868426,4.66497068095994,1.98245819274564,13.7693993058827,0.957606449987402,13.9113801519054,1934
comp69803_c0,22.0733377806944,19.9304913296456,0.1473275245264,2.14284645104884,0.364892920131015,2.14790509852174,3578
comp69806_c0,0.790759955371501,0.808657172463201,-0.0322883926235512,0.0178972170916999,0.0394583018392542,-0.0369168075250289,917
comp69809_c0,0.54767891168857,1.02680323497436,-0.906757510539692,0.479124323285789,0.350251952632905,-1.0255580432546,662
comp69811_c0,1.29465436805571,2.37080527696621,-0.872810178616354,1.0761509089105,0.5276669186193,-1.38560397900887,2007
comp69812_c0,1.99493550331431,2.17170524457836,-0.122486201595129,0.176769741264045,0.143708742756362,-0.215059087247575,939
comp69813_c0,2.42923577579788,2.07018042196749,0.230746013210243,0.359055353830387,0.246268581506677,0.426807298117881,597
comp69813_c5,28.5575750184083,26.318650016208,0.117787987707465,2.23892500220028,0.324557823129252,2.2420212254851,2463
comp69813_c7,2.64430385400365,1.90292192272101,0.474671596096332,0.741381931282637,0.393066263542454,0.880318290263819,1234
comp69815_c0,578.026224313684,565.04868874277,0.0327597613686567,12.9775355709138,0.128100277147896,12.9775769192981,2772
comp69816_c0,13.1563520462899,6.58428789168959,0.998660195669951,6.57206415460036,0.83602166792643,6.64750700929292,3679
comp69817_c1,3.33189457008007,2.18067527466183,0.611567797151174,1.15121929541824,0.502542202066012,1.30358008448105,4534
comp69818_c0,1.21252027477017,0.792763334945215,0.613046726077087,0.419756939824951,0.300801209372638,0.742981949232309,3040
comp69819_c1,8.52179024554736,8.2764017532742,0.0421528633766911,0.245388492273161,0.102166792642983,0.248982682190849,3666
comp69820_c0,10.9506641362757,4.7579160740374,1.20261664002645,6.19274806223832,0.88008062484253,6.30844000884727,1065
comp69822_c0,5.35067400708352,4.20557948071925,0.347416033543012,1.14509452636428,0.454142101284958,1.19663669284883,2733
comp69823_c0,88.9604583293145,124.552094215197,-0.485513153174387,35.5916358858824,0.71479969765684,-35.5949472264694,1798
comp69824_c1,NA,NA,NA,NA,NA,0,383
comp69825_c1,6.46268164427154,6.4419378806359,0.00463817637480693,0.0207437636356422,0.00625094482237339,0.0212559735099386,2590
comp69826_c1,0.318597047045548,0.651615665332825,-1.03228839262355,0.333018618287278,0.298014613252709,-1.08467540106305,569
comp69827_c0,83.430114292072,101.918902041714,-0.288781513947997,18.4887877496421,0.606460065507685,-18.4910428914681,2535
comp69828_c0,0.0830044504436431,0.707359038412655,-3.09118208167712,0.624354587969012,0.472295288485765,-3.1536051296254,2184
comp69830_c0,1.84656476055447,3.7767158741331,-1.03228839262355,1.93015111357863,0.709569160997732,-2.18885875441842,949
comp69832_c0,26.2775336912741,1.47400644540272,4.15601513813362,24.8035272458714,0.997515747039557,25.149302687452,545
comp69832_c1,24.9429393293841,1.82196222886672,3.77506652943405,23.1209771005174,0.996875787351978,23.4271361754761,407
comp69832_c2,21.1919178086576,0.743024676501759,4.83396021848762,20.4488931321558,0.996581002771479,21.0124820457806,499
comp69833_c0,2.29044164702459,1.26299468887593,0.858777235823285,1.02744695814866,0.51381960191484,1.33908386316063,2691
comp69834_c0,3.74571769805115,3.26718629403128,0.197193453499216,0.478531404019866,0.256122448979592,0.517568896608144,1097
comp69836_c0,0.649755267988948,2.65784454175181,-2.03228839262355,2.00808927376286,0.801010330057949,-2.85702968871411,372
comp69837_c0,72.3347594547923,57.0010581174652,0.343700380233615,15.3337013373271,0.639566641471403,15.3375528248062,1766
comp69841_c0,5.61720979189607,6.69453591985887,-0.253130362396599,1.07732612796281,0.412723607961703,-1.10666461331262,5723
comp69842_c0,0.558477263613421,0.685340690525651,-0.295322798457345,0.12686342691223,0.172617787855883,-0.321418550143877,1082
comp69843_c0,0.772153519213577,10.1378254192499,-3.71471670278032,9.36567190003637,0.987205845301083,-10.0754617919501,2426
comp69846_c0,18.3138422671578,9.09086771333824,1.01044459236498,9.22297455381953,0.848523557571177,9.27816026454826,2148
comp69847_c1,3.46713671689185,4.05212364562161,-0.224933470565947,0.584986928729765,0.296145124716553,-0.626741392414388,732
comp69847_c5,3.93865371710625,3.07384508109118,0.357658125692462,0.864808636015069,0.405079365079365,0.935848979162819,583
comp69848_c0,0.823259399495534,1.26283826149311,-0.617250893344707,0.439578861997577,0.308772990677753,-0.757778490886304,734
comp69849_c1,7.93231466405636,11.9360022810317,-0.589505902861803,4.00368761697533,0.699090450995213,-4.04685454937912,2133
comp69849_c3,0.280404825628641,0.430126813891389,-0.617250893344707,0.149721988262748,0.184419249181154,-0.635149855627937,431
comp69850_c0,32.4571325331255,32.0294937064334,0.0191345553166524,0.427638826692153,0.079445704207609,0.428066697258508,4094
comp69851_c0,8.56430285524951,7.70911324447317,0.151770893022398,0.855189610776342,0.290776014109347,0.868552631881688,2533
comp69852_c0,4.62782377313409,2.637823113942,0.810986103688996,1.99000065919209,0.65681783824641,2.14890695097801,1593
comp69853_c0,NA,NA,NA,NA,NA,0,366
comp69855_c0,14.0312977696277,11.8784254348856,0.240304841635088,2.15287233474213,0.477591332829428,2.16624230099296,1826
comp69857_c0,0.174645202089515,0.392915457545101,-1.16979191637349,0.218270255455586,0.237147896195515,-1.18998110574471,1730
comp69859_c0,3.93244280426559,4.18071068785542,-0.088322427537879,0.24826788358983,0.147646762408667,-0.26351051824995,1552
comp69860_c0,1.10067832282281,0.900471921249247,0.289639702263811,0.200206401573561,0.204484756865709,0.352099077474655,549
comp69862_c0,13.779485033518,5.37895816587266,1.3571232989798,8.40052686764531,0.910702947845805,8.50944388915425,2447
comp69865_c0,374.824038942494,442.259805038624,-0.238680646590252,67.43576609613,0.555820105820106,-67.4361884852859,1587
comp69866_c0,6.19884300121675,9.67305959933153,-0.641973322755939,3.47421659811478,0.69771982867221,-3.53303137797367,1316
comp69872_c1,9.52291746637098,11.6861388232612,-0.295322798457344,2.1632213568902,0.526575963718821,-2.18328701599093,1745
comp69874_c0,12.6117938527018,5.5223936222428,1.19140786525974,7.08940023045897,0.884822373393802,7.18881411145361,1768
comp69876_c0,NA,NA,NA,NA,NA,0,512
comp69876_c1,NA,NA,NA,NA,NA,0,910
comp69877_c2,3.43419622295005,3.96025264398267,-0.205619995509113,0.526056421032618,0.275474930713026,-0.564814076190399,1654
comp69878_c1,12.3923050623283,11.345154777341,0.127368273364934,1.0471502849873,0.295550516502897,1.05486795211958,1024
comp69879_c0,1.38913195225223,2.66357265498834,-0.93917898823207,1.27444070273611,0.580977576215671,-1.58311600229646,696
comp69881_c0,0.0103329753630253,0.190203136238566,-4.20221339406586,0.17987016087554,0.21482741244646,-4.20606118405806,2924
comp69882_c0,5.97593414014268,3.84645303010068,0.635635557113004,2.12948111004201,0.631572184429327,2.22232363968259,1719
comp69885_c0,2.17404276475638,1.767196912793,0.298917515851822,0.406845851963375,0.280763416477702,0.504851689650365,2168
comp69890_c0,8.6049574498154,7.96669358415533,0.111186971488676,0.638263865660069,0.235220458553792,0.64787599495286,4080
comp69891_c0,2.70020164855529,10.794231877927,-1.99912152868835,8.09403022937174,0.949264298311917,-8.3372544785708,1477
comp69895_c0,0.0503560332691435,3.50171018375801,-6.11975123387389,3.45135415048887,0.925774754346183,-7.02589500608981,600
comp69895_c1,0.192596780630987,3.05281506528704,-3.98648470301043,2.86021828465605,0.897624086671706,-4.90641507856978,1255
comp69896_c1,4.11105513649527,21.3573688768494,-2.37715329878807,17.2463137403541,0.978342151675485,-17.4093709086993,4586
comp69897_c0,17.9872579743278,20.0473119936763,-0.156433533518467,2.06005401934853,0.372932728647014,-2.06598499826188,1458
comp69899_c0,8.18030138389184,39.7529621833096,-2.28083646455726,31.5726607994178,0.978616780045351,-31.6549383972414,2711
comp69900_c0,8.94854163220581,10.3829486375249,-0.2144917238443,1.43440700531914,0.401710758377425,-1.45035518287981,2458
comp69903_c1,1.82559637229523,4.85397892896969,-1.41080001587728,3.02838255667446,0.840866717057193,-3.34087677030589,1655
comp69904_c0,0.548507472825769,0.654408773328452,-0.254680813959999,0.105901300502684,0.16246661627614,-0.275821323409716,661
comp69905_c0,8.05696532306296,5.47914652282136,0.556285361649984,2.5778188002416,0.644618291761149,2.63715816182214,1500
comp69906_c0,NA,NA,NA,NA,NA,0,1029
comp69909_c0,10.4178521329646,13.8487849774734,-0.41070154176094,3.43093284450882,0.627566137566138,-3.45542702714646,6537
comp69910_c4,93.223708723846,85.053956166523,0.132318566429951,8.16975255732301,0.377976820357773,8.17082401296882,4761
comp69910_c5,2.78431865149436,2.30865076945441,0.27027437739688,0.475667882039954,0.298720080624843,0.547090644300967,803
comp69911_c0,5.08800790269113,4.50161418247037,0.176658497647946,0.586393720220764,0.268747795414462,0.612426175065678,1057
comp69912_c1,0.530063508096247,0.361373599975027,0.552674108097605,0.16868990812122,0.193852355757118,0.577845095906705,342
comp69913_c1,10.6104753169136,15.8586006449243,-0.579776187926044,5.24812532801074,0.71421768707483,-5.28005301929762,2073
comp69914_c0,8.56052565575439,9.24348497036122,-0.1107374903089,0.682959314606821,0.240259511211892,-0.691878759009216,2400
comp69915_c0,1.28568595580792,1.05182783992731,0.289639702263812,0.233858115880607,0.21665910808768,0.372264389232568,705
comp69916_c0,2.67081723416452,0.51211231156682,2.38274910665529,2.1587049225977,0.829276895943563,3.21519832173913,362
comp69916_c1,14.4135649583139,16.4988553443322,-0.19493873026811,2.08529038601836,0.417067271352986,-2.09438227231304,4075
comp69918_c0,101.044998989653,0.68093537846534,7.21326431363213,100.364063611188,0.999979843789368,100.622941949681,1089
comp69919_c0,7.88580065762611,8.86133033201281,-0.168266062142525,0.975529674386702,0.323323255228017,-0.989935156097599,1318
comp69920_c0,0.0405824311101224,0.498011166654637,-3.61725089334471,0.457428735544515,0.394154698916604,-3.64605884120168,1489
comp69921_c2,11.5573589250957,7.12677405509489,0.697490660949386,4.4305848700008,0.73074326026707,4.48515055626805,1396
comp69922_c3,7.43031246460251,6.45413249555398,0.20319968632458,0.976179969048528,0.344794658604182,0.997104530374821,1350
