,Rhop_mean,Tent_mean,M,D,prob,ranking,Length
comp55487_c1,0.814383389536983,0.992119722867218,-0.284806090649804,0.177736333330235,0.197805840967758,-0.335715226727803,872
comp55488_c1,0.12028155753324,1.50719233160316,-3.64737617003451,1.38691077406992,0.689553069798046,-3.9021627876047,328
comp55502_c0,13.7290215970353,9.82041837670828,0.483372421320366,3.90860322032697,0.651675355570178,3.93837885831766,1592
comp55508_c0,1.72941812036834,1.26975792319992,0.445733234356969,0.459660197168417,0.297016247405983,0.640285571500118,730
comp55508_c1,2.47220997624456,1.45209913932524,0.767661329244332,1.02011083691932,0.467403958090803,1.2766871331761,383
comp55508_c2,0.912193083720295,0.892989676238867,0.0306957350781254,0.019203407481428,0.0412992863288961,0.0362077203215588,692
comp55508_c3,1.20048647186703,0.854701045584088,0.490127353715423,0.345785426282939,0.262061547805841,0.599826961622898,723
comp55514_c0,0.41096198823857,0.482772543716637,-0.232338670755669,0.0718105554780671,0.149729209900289,-0.243183087007669,384
comp55519_c0,0.0854872174884133,0.0334750192826271,1.35262382996549,0.0520121982057863,0.133527357392317,1.35362346838133,923
comp55529_c0,0.119191392359223,0.560074491804196,-2.23233867075567,0.440883099444973,0.360451991699145,-2.27545904123265,331
comp55530_c1,0.846163021359845,1.15968954201101,-0.454731092092116,0.313526520651166,0.247195930556259,-0.552339791493348,373
comp55538_c0,10.9778000635058,6.63035253173064,0.727431484455799,4.3474475317752,0.72521637900491,4.4078857297026,2796
comp55543_c0,0.936554323344872,1.10020567826225,-0.232338670755668,0.163651354917375,0.18960115402136,-0.284188359886192,337
comp55544_c0,0.219179727060571,0.171652459988138,0.352623829965488,0.0475272670724332,0.132537834691502,0.355812319313011,360
comp55555_c2,0.118832382141273,1.30290421436779,-3.45473109209212,1.18407183222652,0.638158627321962,-3.65201218816973,332
comp55562_c0,9.46856420901666,23.3869874716146,-1.3044884565115,13.9184232625979,0.914863086500987,-13.9794204547255,325
comp55565_c2,0.574548799090817,2.62478276195453,-2.19169668625832,2.05023396286372,0.790056688768538,-3.00116538481897,824
comp55567_c0,0.0444784113538926,8.70841116061578,-7.6131604546966,8.66393274926189,0.984253682239206,-11.5336005996692,887
comp55571_c0,3.17573102985595,1.14789261168538,1.46810104738542,2.02783841817057,0.746727742066103,2.50348743466843,646
comp55571_c1,1.85512621650013,0.0968571874541216,4.25951442557401,1.75826902904601,0.75952320696462,4.60814204644078,638
comp55572_c0,NA,NA,NA,NA,NA,0,412
comp55574_c0,0.125245558320326,0.196174239986443,-0.647376170034512,0.0709286816661169,0.149951915776687,-0.651250169605695,315
comp55574_c3,0.165766180129843,0.129821188226323,0.352623829965488,0.0359449919035209,0.120289011489599,0.354451136128061,476
comp55576_c0,0.701375126593827,0.13732196799051,2.35262382996549,0.564053158603316,0.422870375056942,2.41929635453201,450
comp55578_c1,7.93314850474405,10.9905634896636,-0.470299894700599,3.0574149849196,0.623217087614516,-3.09337491762093,3143
comp55580_c0,0.280466949319214,0.658950201850197,-1.23233867075567,0.378483252530983,0.321982082299944,-1.28915017429556,844
comp55580_c5,0.952571852013749,0.248671571813801,1.93758633068664,0.703900280199948,0.478190008604545,2.06148402694013,497
comp55615_c0,0.0669819199845548,0.209829832243564,-1.64737617003451,0.142847912259009,0.192303993521284,-1.6535579129968,589
comp55617_c0,0.277833456837343,2.2846700660393,-3.03969359281327,2.00683660920195,0.79507769398188,-3.64240721422293,568
comp55617_c1,0.589721238727993,1.66264266176851,-1.49537307658946,1.07292142304052,0.584253682239206,-1.8404621751636,669
comp55630_c0,1.08917533079179,1.89554863790582,-0.799379263479562,0.806373307114021,0.416110745558536,-1.13544930195369,652
comp55640_c0,16.2586836596884,0.241386271858319,6.07372301867267,16.0172973878301,0.994710735435542,17.1302051043688,1024
comp55641_c0,0.15351109288289,0.360670538496476,-1.23233867075567,0.207159445613586,0.229144100825024,-1.24962939920073,514
comp55647_c0,0.201287504443381,0.15764001427482,0.352623829965488,0.043647490168561,0.120289011489599,0.355314886906733,392
comp55649_c0,0.0863289953411439,0.67609284021586,-2.96930426492187,0.589763844874716,0.43771068482057,-3.02730725404684,457
comp55655_c0,1.02252313272318,0.266932551169458,1.93758633068664,0.755590581553723,0.499716556157311,2.07970140063338,463
comp55664_c1,NA,NA,NA,NA,NA,0,322
comp55670_c0,0.0962252460265921,0.150719233160316,-0.647376170034512,0.054493987133724,0.132558080680265,-0.649665683380525,410
comp55670_c1,0.0764580443234549,0.119757530224282,-0.647376170034512,0.0432994859008272,0.120291542238194,-0.648822588237978,516
comp55672_c0,0.689726413826971,1.18836318453326,-0.784879693784447,0.49863677070629,0.320458571645493,-0.92987889685462,572
comp55678_c0,0.760160903100246,1.07158761148664,-0.495373076589462,0.311426708386394,0.248099407804829,-0.585133386251454,519
comp55682_c2,1.1452061210712,2.51125805033444,-1.13280299720475,1.36605192926324,0.629275699751987,-1.77463813323164,689
comp55683_c0,2.48239511097815,1.94410876031509,0.352623829965488,0.538286350663063,0.312620843245432,0.643502727864993,445
comp55686_c0,0.578965316763772,9.78095149366369,-4.07842598730199,9.20198617689992,0.985921445563598,-10.0652922527743,1908
comp55686_c1,0.0455569871488484,8.42008833752435,-7.53001921939635,8.3745313503755,0.983200890823506,-11.2620586387614,866
comp55686_c2,0.0891578550754864,7.40142132559021,-6.37529662459771,7.31226347051472,0.978182416358759,-9.70121663060005,885
comp55686_c3,0.0770553727947319,7.00020188389124,-6.50535716516208,6.92314651109651,0.975833881662196,-9.49998049789753,512
comp55686_c4,0.684936647064284,12.7666517116177,-4.22026583845509,12.0817150645535,0.991347370552209,-12.7975967528395,576
comp55697_c0,61.0900150229227,22.5537654264788,1.43756827885217,38.5362495964439,0.927506706483778,38.5630540221568,2033
comp55706_c1,0.603862513330144,0.15764001427482,1.93758633068664,0.446222499055324,0.364210153363365,1.98830463147047,392
comp55712_c0,1.20772502666029,0.315280028549641,1.93758633068664,0.892444998110648,0.542607683352736,2.13323671061522,392
comp55724_c2,0.356068148654357,0.278857786984339,0.352623829965488,0.0772103616700177,0.155347471782153,0.360977846146747,1108
comp55746_c0,0.527202906960839,0.412883422688616,0.352623829965488,0.114319484272222,0.170018221389887,0.370691934015021,898
comp55754_c0,0.0596858560830601,1.58927844951196,-4.73483901128485,1.5295925934289,0.718795869818292,-4.97577671973507,661
comp55754_c1,0.0695808657335146,3.16058497755936,-5.50535716516208,3.09100411182585,0.892726628536721,-6.3137361312717,1134
comp55754_c3,0.129777469970075,2.03272649985953,-3.96930426492187,1.90294902988945,0.780951055322164,-4.40188497781169,304
comp55772_c0,NA,NA,NA,NA,NA,0,457
comp55777_c1,NA,NA,NA,NA,NA,0,357
comp55779_c1,19.9344038883238,14.1984730098562,0.489524682242109,5.73593087846761,0.682079769195728,5.75678186638007,2842
comp55782_c0,0.394523508709028,0.514957379964413,-0.384341764200718,0.120433871255386,0.174404008705775,-0.402769051758547,600
