,results.star.mapping.SRR8101518.Aligned.out.sam,results.star.mapping.SRR8101523.Aligned.out.sam,results.star.mapping.SRR8101526.Aligned.out.sam,results.star.mapping.SRR8101525.Aligned.out.sam
comp7995_c0,0,0,1.90656891223664,0.882567596241296
comp8137_c0,3.70030768503747,0,0.956451514112071,0
comp8146_c0,5.23726934104833,17.6823821647622,1.80496492631808,1.671068426739
comp8805_c0,3.54711023310917,3.59278975194849,32.0898621056391,11.034905677845
comp8888_c0,0,0,0,0
comp9672_c0,4.24648599802503,0.819270865731175,0.627215480931881,2.9034358830596
comp10085_c0,1.53414960495355,0,1.58618129888558,0
comp10231_c0,0,0,0.919782446478382,3.40620337463094
comp10276_c0,0,0,0.834469292022416,0
comp10479_c0,8.89610713415559,7.20853662691263,2.75934733943514,0
comp10949_c0,2.73371258498386,6.85636641769694,225.306708846052,15.3267208648804
comp10976_c0,0.656717342686485,6.20829549904307,0,0
comp11024_c0,0.912944764914983,2.46587099915154,1.6518388034706,1.96624485785561
comp11027_c0,20.6136705732566,20.1058312518951,26.3872722071953,23.0203912265194
comp11028_c0,22.7530801923145,45.2557476629579,20.6937052363742,26.4600832506451
comp11038_c0,2.53134684817336,1.13953129506245,0.872399714387071,1.6153661458477
comp11049_c0,21.2040016319794,39.0206030074942,23.4890885442711,25.8728937502302
comp11063_c0,6.38886776212015,5.03311145620318,5.50462534890504,3.56739559933862
comp11064_c0,0,0,0,0
comp11066_c0,9.22013752645927,6.22591601606969,0.953284456118322,2.64770278872389
comp11071_c0,1.65496673580428,2.79379886605207,3.84996605011828,6.33665174597019
comp11079_c0,0,0,3.99849869094074,2.96150460072079
comp11085_c0,18.1863754140611,184.537689336327,59.9668929889365,15.5263347998954
comp11086_c0,18.266198856419,24.668573475512,17.5038278694622,13.6466132001214
comp11098_c0,0,0,2.1220533593199,0.654878167235556
comp11127_c0,30.912364105086,38.8681474058095,32.6955077986579,32.0840162400504
comp11129_c0,0,0,0,0
comp11132_c0,3.96649791024316,4.2854168361323,4.92122915808091,1.51872030806194
comp11135_c0,0,0.992204030001607,30.7641746247578,0
comp11136_c0,33.7386692853024,19.4069765060374,19.3794102597577,18.9385671923431
comp11157_c0,22.8497530379008,39.4704064988235,32.049035309067,26.2805274682284
comp11182_c0,0,5.80018499800425,2.22024605975116,4.11108607812141
comp11186_c0,3.46975891961458,1.17148077062495,0.896859519463344,3.32131357090182
comp11214_c0,5.34395445725487,7.21703153539553,3.19879895275259,3.23073229169541
comp11215_c0,9.57165526965553,37.6045327370609,0.899662205461667,0
comp11222_c0,23.9011290385468,18.5601771019829,7.61945673295146,12.9645265782627
comp11226_c0,0.485947911516701,1.31254913567403,3.51700408417824,1.39547337206739
comp11230_c0,4.38501028817433,8.88296048906951,7.55621799862817,2.09870404775489
comp11232_c0,18.7210118524104,0.58121379809986,83.8757716127477,13.1825861670415
comp11261_c0,2.17198247503175,95.6246308290317,0.44912933813999,2.49487127049801
comp11263_c0,0,0.740246707422459,47.6041733913575,2.09870404775489
comp11272_c0,9.88229354088557,8.24316479622421,10.5179715043535,5.56441365479898
comp11275_c0,1.56212147713363,2.63706400680652,2.42265278329088,0.747644920238068
comp11282_c0,6.18773673997933,0.557104188697199,27.0831644666386,30.9970814875443
comp11301_c0,4.95753388663032,3.34758451665231,4.27139326035213,0
comp11304_c0,27.8811820891537,43.7109718798227,24.8161068080327,21.8148270980391
comp11307_c0,4.81214404758801,19.2010575640924,12.8906823469134,0.209375816233206
