,Rhop_mean,Man_mean,M,D,prob,ranking,Length
comp11129_c0,NA,NA,NA,NA,NA,0,306
comp11132_c0,0.899198880248496,0.860786893489632,0.0629841277016766,0.0384119867588635,0.0938089412244482,0.0737731730990623,702
comp11135_c0,0.208191825176268,0.0398596569412745,2.38491222258904,0.168332168234993,0.2179844012846,2.39084546307729,758
comp11136_c0,4.07211998517919,7.32177477002356,-0.846413323517416,3.24965478484436,0.713676912881684,-3.35807559993662,1337
comp11157_c0,8.2819820530521,4.95872388680879,0.7400071814116,3.32325816624332,0.698213284396187,3.40465203332788,1572
comp11182_c0,1.21703910141602,0.0776699741940517,3.9698747233102,1.13936912722197,0.639019727787123,4.13014132044459,389
comp11186_c0,0.245809039694098,0.75298741337037,-1.61508777741096,0.507178373676272,0.40734566957231,-1.69284920517664,321
comp11214_c0,1.51433265969122,1.1597147055924,0.384912222589039,0.354617954098821,0.264416067696386,0.523365371865265,990
comp11215_c0,7.89047017418055,2.07718637235217,1.92548060395174,5.81328380182838,0.923232400468981,6.12386676184211,320
comp11222_c0,3.89443806880156,5.18688754703624,-0.413453916241311,1.29244947823468,0.474519549370444,-1.35697081569368,1398
comp11226_c0,0.27540908112323,0.105457661296636,1.38491222258904,0.169951419826595,0.217326808380486,1.39530116798403,573
comp11230_c0,1.86389059232611,0.951610077527121,0.969874723310195,0.912280514798993,0.488074119386247,1.33150768551967,381
comp11232_c0,0.121954716757041,4.06272787735594,-5.05803127325969,3.94077316059889,0.932395371361574,-6.41197110603047,1294
comp11261_c0,20.0646901465122,0.471351325452201,5.41171228193275,19.59333882106,0.996199724728552,20.3269662266477,641
comp11263_c0,0.155324216027176,0.0594756298454451,1.38491222258904,0.0958485861817311,0.178587449661008,1.38822505947326,508
comp11272_c0,1.72964377513352,2.14459932920778,-0.31023319588254,0.414955554074258,0.279199163990416,-0.518104958174083,958
comp11275_c0,0.553328904220235,0.339002748515973,0.706840317476401,0.214326155704262,0.219358209716063,0.738619614841839,713
comp11282_c0,0.116895854432304,1.34282755384383,-3.52197837301948,1.22593169941152,0.661862160371107,-3.72924123537737,1350
comp11301_c0,0.702415742508654,1.0758559036731,-0.615087777410961,0.373440161164441,0.278760768721007,-0.719576631006649,337
comp11304_c0,9.17176985853812,6.05061610025407,0.600118103332218,3.12115375828405,0.664816230820207,3.17832385398306,2297
comp11307_c0,4.02891250056352,1.04430422490604,1.9478484169802,2.98460827565748,0.854840189631442,3.56398653401712,1273
comp11309_c0,0.22870928041103,2.10181704079903,-3.20005027813212,1.873107760388,0.784638323902737,-3.7079447763686,690
comp11312_c0,NA,NA,NA,NA,NA,0,465
comp11318_c0,7.08330307911824,16.0634694854387,-1.18128935002346,8.98016640632044,0.899248101136769,-9.05752908986137,2874
comp11322_c0,0.0911139742976969,0.907106372977643,-3.31552749555205,0.815992398679946,0.541109751745935,-3.41446425789832,866
comp11328_c0,5.66495294556552,2.86642035532048,0.982813779017694,2.79853259024505,0.738823469439772,2.96609298284641,780
comp11329_c0,29.6355687293166,7.51794299511156,1.9789198629132,22.1176257342051,0.959489218534944,22.2059787431719,426
comp11355_c0,0.366998612752584,1.12422771949716,-1.61508777741096,0.757229106744573,0.506308304022022,-1.78378935102872,430
comp11361_c0,0.0764580443234549,179.408006903088,-11.1962883593359,179.331548858765,1,-179.680720415711,516
comp11365_c0,0.542922259691322,0.277189173958588,0.969874723310195,0.265733085732734,0.255168986083499,1.00561973517283,436
comp11428_c0,NA,NA,NA,NA,NA,0,523
