,SA01,SA02,SA03,SA04,SA05,SA06
TRINITY_DN35466_c0_g1,52.9647453034442,57.7307955553089,89.5051867974114,77.9961161042467,96.2154549995006,102.82307254032
TRINITY_DN35568_c0_g1,2.18379230933703,0,0,0.528586917160399,0,0
TRINITY_DN35568_c0_g2,1.01124157370727,0,0,0,0,0
TRINITY_DN35531_c0_g1,1.8735886825742,0,0.328060255045828,0,0,0
TRINITY_DN35546_c0_g1,16.7113726104945,12.0047478318353,56.2115606759924,27.8346074602407,10.3271029156114,18.1680492241051
TRINITY_DN35605_c0_g1,18.3893736500401,6.18341325822034,3.90991383540641,16.8772687292053,2.81816732843452,1.93447245802049
TRINITY_DN35556_c0_g1,9.42278738538306,6.31875695559173,11.3378039409984,16.4723407175223,6.22048009994644,11.9964402996818
TRINITY_DN35578_c0_g2,0,0,0.554132866035958,0,0,0
TRINITY_DN35560_c0_g2,1091.13784622102,1938.58767566829,1488.26088671169,1163.66975994099,1629.60050367379,1387.84581202556
TRINITY_DN35537_c0_g1,14.7472088661477,1.82210846962767,1.05727708052032,34.7118807843242,0.996538256822852,0.29316557077008
TRINITY_DN35593_c0_g1,25.879247832063,35.9929526075088,43.8207550808163,26.5203039963625,24.8663617194011,46.4784822810387
TRINITY_DN35593_c1_g1,4.53556864246922,6.77814041742683,19.5137849585534,7.70226650719439,6.17844322358345,6.54335602086543
TRINITY_DN35600_c0_g1,0.479176185030745,0.835450710446438,1.0068292764691,0,0,0.134418663027425
TRINITY_DN35600_c0_g2,3.43913237904949,1.43908266520143,0.843055745511914,2.70543641722299,0.163969945911167,0.144711984070066
TRINITY_DN35600_c1_g1,4.36598359791942,0,0,5.04909013466484,0.106748762440701,0
TRINITY_DN35549_c0_g1,158.178925544713,150.563470353367,141.829028293751,187.841086514045,150.533491758841,133.117214638729
TRINITY_DN35613_c0_g1,2.50987370441342,1.0163616702271,0.396942471905928,7.55800816281256,0.463219444228367,0.204407595738417
TRINITY_DN35544_c0_g1,10.0188858840104,9.34436759839095,17.9232413808121,8.22965955215341,12.6613314755754,15.1360727559514
TRINITY_DN35533_c0_g1,70.6711417993093,127.38416174897,214.732449837003,149.035133014208,189.34389394027,267.696214195333
TRINITY_DN35609_c0_g1,5.4795745560932,8.02512366647018,6.65224574585751,8.81273259734647,11.1468181411764,9.83764530941384
TRINITY_DN35608_c0_g1,6.02753201170252,1.86828275833168,0.469068610284824,20.3714615837212,1.27723957867646,1.6908452875555
TRINITY_DN35683_c0_g1,30.4785384490613,63.3426166327784,86.5969938172933,70.0108623992268,69.4604182846684,123.20333500461
TRINITY_DN35702_c0_g1,3.37124301260591,2.90433046977016,0,3.74404291713353,3.21466273178569,0
TRINITY_DN35657_c0_g1,0.208745697374979,0,14.4010155157575,0,0,1.93239461434915
TRINITY_DN35699_c0_g1,1.81999377389508,9.13877525648775,2.6768778379544,2.48164942395091,4.68574901450078,4.28858018107046
TRINITY_DN35641_c0_g1,27.0690983071004,29.7693873151442,16.7713349477292,35.6724089049111,10.5894772341176,14.3106996610379
TRINITY_DN35655_c0_g1,0.270261022353623,1.13088974044148,0,1.41736137964249,0,0.682323408075495
TRINITY_DN35636_c0_g1,4.32162672537162,2.26044588449093,1.89176255562983,0,0.343408754644143,1.06076614738152
TRINITY_DN35690_c4_g1,2.8394159063392,2.64030042706378,0.220966204844917,0.330912884090085,0.60167484284759,0
TRINITY_DN35663_c0_g1,6.88390268003184,6.54664655071143,7.45127021911466,7.22041063481808,2.08860078644225,7.37319420475023
TRINITY_DN35668_c0_g1,22.3260986502478,8.35343715691631,8.73158452570747,5.29884409059512,13.9078713140192,9.87439211686629
TRINITY_DN35668_c1_g1,0.924318871851073,1.74048859871214,0.258953131101549,0.581701583170464,0.176277617396025,0.466722428041955
TRINITY_DN35668_c1_g2,0,0.902475569702592,0.201407990856761,0,1.09683850824193,0
TRINITY_DN35668_c1_g3,1.2734437103319,0.847738613238447,0.486494206876148,0.364280142303869,0.331172051483965,0
TRINITY_DN35668_c1_g4,0,0.593822215008769,0.795149763159404,0,0.270641843808767,0
TRINITY_DN35668_c1_g5,2.73284076294939,0.714712196140308,0.478512944720089,0.358303883444298,0.325738952951044,0.574963050801871
TRINITY_DN35630_c0_g1,3.42461361438859,1.89662741759397,0.705459387499603,4.01461066239105,0.768365762370009,0
TRINITY_DN35709_c0_g1,0,0,0,0,0.441228218088233,0
TRINITY_DN35625_c0_g1,0.804275653430083,0.600971316167641,1.12661174118071,4.45898263979326,0.657360324917005,2.03054106767388
