,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TRINITY_DN3930_c0_g1,1405.58634087085,-0.128885467325656,0.849532083036947,-0.151713478394966,0.879412926013659,0.980862909521305
TRINITY_DN3960_c0_g1,381.464197019505,0.541340915598534,0.967531584624593,0.559507228705693,0.575815599213888,0.891195056818725
TRINITY_DN3960_c0_g4,15.6660238470306,-0.297855949911947,1.02129608954321,-0.291645050795376,0.770558026520311,0.954036965047098
TRINITY_DN3975_c0_g2,652.990876704066,0.642169082730211,0.621382232380854,1.03345259852331,0.301392142413027,0.679230582758695
TRINITY_DN3975_c0_g3,638.460459444578,0.298776116192524,0.763392809021618,0.391379264595697,0.695516916902684,0.931095227466496
TRINITY_DN3975_c0_g4,1548.62769300002,0.179940998339461,0.631968824445163,0.28473081484271,0.775850380566938,0.955505653537808
TRINITY_DN3975_c0_g5,1020.48728828327,1.13029796208351,0.970063506427672,1.16517934608829,0.243946404152405,0.604666114079561
TRINITY_DN3975_c1_g1,31.5263816010969,-0.579072033390015,0.90791402083842,-0.637804924364167,0.52360067363038,0.864489139858629
TRINITY_DN3913_c0_g1,117.356296707376,0.940963129473422,0.827573963111906,1.1370139364162,0.255532459716062,0.6202964487841
TRINITY_DN3913_c2_g1,15.7457617733828,0.681394806598881,1.0963149415819,0.621531989353056,0.53424965354139,0.870083254893087
TRINITY_DN3959_c0_g1,430.890555985073,-0.623596732885844,0.558747458529909,-1.11606186903571,0.264395652587956,0.632363291865201
TRINITY_DN3992_c0_g1,2688.84585592873,-0.348960139199895,0.618415044575264,-0.56428145185175,0.572562602486568,0.890318005123624
TRINITY_DN3998_c0_g1,722.649331825675,-0.572667482322885,0.62462373671683,-0.916819916791764,0.359237014132669,0.740453618836708
TRINITY_DN3908_c0_g1,359.278383975048,-0.809532297878562,0.536489078653822,-1.50894459941267,0.131312941071169,0.413394931546364
TRINITY_DN3926_c0_g1,429.654149950589,0.202669732852371,0.523244187357991,0.387332984768944,0.698509709319871,0.932377369834495
TRINITY_DN3944_c0_g1,118.850802886124,-0.504647217274315,0.891015007408775,-0.566373420288302,0.571139959461685,0.889501270742286
TRINITY_DN3944_c1_g1,76.6248632148425,1.29294879746837,1.52079002994003,0.850182321039647,0.395223729113062,0.771332095003497
TRINITY_DN3987_c0_g1,540.614386911792,-0.422896745986815,0.457767374750153,-0.923824565299415,0.355577663085973,0.73628971399923
TRINITY_DN3982_c0_g1,714.530779543963,-0.565093268437324,0.67070723211998,-0.842533435417373,0.399489432524137,0.775725092376071
TRINITY_DN3969_c0_g1,5589.74211034548,-0.255267580831261,0.629181137425769,-0.405713975907896,0.68495277209806,0.928785255310901
TRINITY_DN3948_c0_g1,3806.70749078569,1.10311578321482,0.413906316032542,2.66513396990079,0.00769576578996535,0.0497445267258821
TRINITY_DN3962_c0_g1,276.532340675563,2.00984723106351,0.621846019187374,3.23206576716527,0.00122898766865971,0.0107992518272561
TRINITY_DN3941_c0_g1,1327.75340477882,0.796075870040398,0.570377753186913,1.39569936869456,0.162805044507708,0.47436201023111
TRINITY_DN3903_c0_g1,327.28084521454,-1.06596004413156,0.834136199669421,-1.27792085339782,0.201277334426721,0.54239044548257
TRINITY_DN3903_c0_g2,712.949678247584,-1.08480087508794,0.669374963825968,-1.62061764140013,0.105099666394423,0.358757734728572
TRINITY_DN3901_c0_g1,2680.2666637209,2.70698627420039,0.805082819485166,3.36236994341955,0.000772765186513495,0.00730301356957555
TRINITY_DN3991_c0_g1,1082.87059310873,-0.782670553275123,0.465209367198214,-1.68240497389135,0.0924903375567099,0.327729103286792
TRINITY_DN3925_c0_g2,302.17298623597,-0.980975297854724,0.698866783088275,-1.40366565072648,0.160418435560089,0.469468959597412
TRINITY_DN3925_c0_g3,4677.30704369527,0.138257167424108,0.415567268864294,0.332695035876987,0.739364497094668,0.943376999664374
TRINITY_DN3925_c0_g1,360.258782181563,-1.47966745140532,0.704135056984716,-2.10139722021743,0.035606111768504,0.164455597929303
TRINITY_DN3925_c0_g4,2587.5147499084,0.338226245001742,0.483586911148454,0.699411496060761,0.484294905476518,0.840386050733736
TRINITY_DN3942_c0_g1,1233.25244450462,-0.498550086543555,0.635062405818997,-0.785041095135539,0.432429474428222,0.801262074899
TRINITY_DN3906_c0_g1,1045.62411406113,-0.740097393403839,0.409076557023936,-1.80919043317492,0.0704214233903436,0.270900750130309
TRINITY_DN3906_c1_g1,89.4831153918671,1.66668790133522,0.767567853754142,2.17138835763316,0.0299018282266944,0.143957036914995
TRINITY_DN3931_c0_g1,2880.97395029365,-10.9401017002268,0.966112894560565,-11.3238336449312,1.00001042142412e-29,2.79368765048582e-27
TRINITY_DN3950_c0_g1,3842.07207293471,4.67811242085452,0.899273578234456,5.202101489559,1.97047562673147e-07,4.88524411874076e-06
TRINITY_DN3956_c0_g1,453.855641508997,0.178940172053549,0.484151785865325,0.369595191585896,0.711684134368752,0.936223862449181
TRINITY_DN3952_c0_g1,2181.07372373178,0.640912520828012,0.778412643340506,0.823358312986258,0.410304261803288,0.783461109044273
TRINITY_DN3952_c0_g2,1081.60746048192,-0.580923692557759,0.563799681096001,-1.03037251001716,0.302835172666854,0.680983689568839
TRINITY_DN3915_c0_g1,727.288385385356,0.550928612958939,0.439891129898287,1.25242037293711,0.210416726535428,0.556216099812218
TRINITY_DN3918_c0_g1,1032.00437138227,-0.258350282832076,0.412484771161373,-0.626326838939235,0.531100585830087,0.869448138809467
TRINITY_DN3909_c0_g1,131.747109734799,-0.627429758812853,0.590525510037057,-1.06249391118341,0.288011520715094,0.664628580290257
TRINITY_DN3954_c0_g1,923.892559421374,-4.76811306522556,0.942301094355339,-5.0600737851075,4.19094268416686e-07,9.69903778741342e-06
TRINITY_DN3954_c0_g2,395.449263573557,-0.0592320707591732,1.24757851811745,-0.0474776295832284,0.96213255923229,0.994967455261403
TRINITY_DN3954_c1_g2,1269.92172074373,0.314193899493318,0.558153553205857,0.562916598288568,0.573491677132109,0.890500056920107
TRINITY_DN3954_c4_g1,354.380411950889,-1.19871258462993,0.648097362982419,-1.84958719645716,0.064373069584834,0.253942930761112
TRINITY_DN3985_c0_g1,373.758527451677,0.664659301469719,0.717454965579221,0.926412574109264,0.354231611973824,0.735030594845685
TRINITY_DN3973_c0_g1,1794.72248581,0.416880007577872,0.726684902929008,0.573673687037637,0.566188637465159,0.887097278370281
TRINITY_DN4019_c0_g1,336.42684124243,-0.333799444681132,0.616329827804597,-0.54159222809343,0.588099446998571,0.895311053839786
TRINITY_DN4078_c0_g2,72.1569313969604,0.878380648943831,0.855671432976848,1.02653964488212,0.304637286507177,0.683077662806024
TRINITY_DN4078_c0_g4,33.2777903259182,-0.108395462163559,1.17167885660209,-0.0925129454652012,0.926290506335757,0.98852713137763
TRINITY_DN4078_c1_g1,154.482850868456,-0.737043396535941,0.813313460256647,-0.906223040134318,0.364817810341119,0.745277730141386
TRINITY_DN4078_c2_g1,52.2650157852145,-1.34351334405927,0.860674165581958,-1.56100112886604,0.11852348451706,0.386496225383176
TRINITY_DN4097_c0_g1,302.036542537967,-2.20755633243408,0.512566981408488,-4.30686410265427,1.6558526833965e-05,0.000264705326386929
